procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   7216  81696  47556 710880    0    4   541    30  527    1  2  1 96  0  0
 2  0   7216  81696  47556 710880    0    0     0     0  447  515  3  0 97  0  0
 1  0   7216  83240  47556 710884    0    0     0    20  417  519  3  0 97  0  0
 1  0   7216  82988  47556 710888    0    0     0     0  392  484  3  1 97  0  0
 1  0   7216  82736  47556 710888    0    0     0     0  381  483  3  0 97  0  0
 1  0   7216  82736  47556 710888    0    0     0     0  402  512  3  0 97  0  0
 1  0   7216  82484  47564 710892    0    0     0    52  424  524  3  1 97  0  0
 1  0   7216  82484  47564 710892    0    0     0     0  381  528  3  0 97  0  0
 1  0   7216  82484  47564 710896    0    0     0    28  394  502  3  0 97  0  0
 1  0   7216  82232  47564 710896    0    0     0     0  461  598  3  1 97  0  0
 1  0   7216  82232  47564 710900    0    0     0     0  414  530  4  0 96  0  0
 1  0   7216 100800  47572 710900    0    0     0    56  450  538  3  1 96  0  0
 1  0   7216 100048  47572 710900    0    0     0     0  317  448  0  0 100  0  0
 1  0   7216  99796  47572 710900    0    0     0     0  341  468  1  0 99  0  0
 1  0   7216  99544  47580 710908    0    0     4    20  324  437  1  0 99  0  0
 1  0   7216  99292  47580 710908    0    0     0     0  335  456  0  0 99  0  0
 1  0   7216  98788  47592 710908    0    0     0    36  341  438  0  0 100  0  0
 1  0   7216  98536  47592 710908    0    0     0     0  351  492  0  0 99  0  0
 1  0   7216  98284  47592 710908    0    0     0     0  325  451  0  0 99  0  0
 1  0   7216  98032  47592 710908    0    0     0     4  353  455  0  0 99  0  0
 1  0   7216  97532  47592 710908    0    0     0     0  325  459  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   7216  97280  47596 710904    0    0     0    20  327  448  0  0 99  0  0
 1  0   7216  97028  47600 710908    0    0     0    12  335  460  0  0 99  0  0
 1  0   7216  96776  47600 710908    0    0     0     0  347  474  1  1 99  0  0
 2  0   7216  96272  47600 710908    0    0     0     0  327  417  0  1 99  0  0
 1  0   7216  96020  47600 710908    0    0     0     4  351  483  0  0 99  0  0
 1  0   7216  95768  47600 710908    0    0     0     0  340  465  0  1 99  0  0
 1  0   7216  95516  47608 710908    0    0     0    12  355  489  0  1 99  0  0
 1  0   7216  95012  47608 710908    0    0     0     0  339  449  0  0 100  0  0
 1  0   7216  94760  47608 710908    0    0     0     0  331  450  0  0 99  0  0
 1  0   7216  94508  47608 710908    0    0     0     0  342  468  1  0 99  0  0
 1  0   7216  94256  47608 710908    0    0     0     4  356  465  0  0 100  0  0
 1  0   7216 107996  47608 710908    0    0     0     0  350  465  0  1 99  0  0
 1  0   7216 106992  47616 710908    0    0     0    12  323  450  0  0 100  0  0
 1  0   7216 106012  47616 710908    0    0     0     0  314  437  1  0 99  0  0
 1  0   7216 105536  47616 710908    0    0     0     0  357  488  0  1 99  0  0
 1  0   7216 105284  47616 710908    0    0     0     0  355  464  1  0 99  0  0
 1  0   7216 105032  47616 710908    0    0     0     4  358  473  0  0 99  0  0
 1  0   7216 101564  47616 710908    0    0     0     0  369  462  0  1 99  0  0
 1  0   7216 101064  47624 710908    0    0     0    12  392  527  0  1 99  0  0
 1  0   7216 100560  47624 710908    0    0     0     0  355  462  0  1 99  0  0
 1  0   7216 100308  47624 710908    0    0     0     0  349  451  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   7216 100056  47624 710908    0    0     0     0  338  459  0  1 99  0  0
 1  0   7216  99804  47624 710908    0    0     0     4  336  452  0  1 99  0  0
 1  0   7216  99552  47624 710908    0    0     0     0  333  434  0  0 99  0  0
 1  0   7216  99048  47632 710912    0    0     0    12  359  480  0  0 99  0  0
 1  0   7216  98796  47632 710912    0    0     0     0  316  440  0  0 100  0  0
 1  0   7216  98544  47632 710912    0    0     0     0  329  476  0  1 99  0  0
 1  0   7216  85688  47632 710912    0    0     0     0  384  480  0  1 99  0  0
 1  0   7216  85436  47632 710912    0    0     0     8  333  454  0  1 99  0  0
 1  0   7216  85436  47632 710912    0    0     0     0  350  472  0  0 100  0  0
 1  0   7216  85436  47640 710912    0    0     0    20  364  454  0  1 99  0  0
 1  0   7216  85184  47640 710912    0    0     0     0  340  457  0  1 99  0  0
 1  0   7216  84932  47640 710912    0    0     0     0  321  462  0  0 100  0  0
 1  0   7216  84680  47640 710912    0    0     0     0  300  434  0  0 99  0  0
 1  0   7216  84428  47640 710912    0    0     0     4  399  528  0  0 99  0  0
 1  0   7216  84176  47640 710912    0    0     0     8  369  443  0  1 99  0  0
 1  0   7216  84176  47648 710912    0    0    12    12  407  533  0  1 99  0  0
 1  0   7216  81516  47648 710924    0    0     0     0  348  453  0  1 99  0  0
 1  0   7216  81268  47648 710924    0    0     0     0  342  449  0  1 99  0  0
 1  0   7216  81268  47648 710924    0    0     0     0  329  459  0  1 99  0  0
 1  0   7216  81268  47648 710924    0    0     0     4  367  458  0  0 99  0  0
 1  0   7216  81268  47656 710924    0    0     0   144  368  494  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   7216  81268  47656 710924    0    0     0     0  350  435  0  0 99  0  0
 1  0   7216  81268  47656 710924    0    0     0     0  345  456  0  1 99  0  0
 1  0   7216  94164  47656 710924    0    0     0     0  333  432  0  1 99  0  0
 1  0   7216  94164  47656 710924    0    0     0     0  359  478  0  1 99  0  0
 1  0   7216  94164  47656 710924    0    0     0     4  376  469  0  0 99  0  0
 1  0   7216  94164  47664 710924    0    0     0    12  358  479  0  1 99  0  0
 1  0   7216  94164  47664 710924    0    0     0     0  373  522  0  0 99  0  0
 1  0   7216  94164  47664 710924    0    0     0     0  359  459  0  0 100  0  0
 1  0   7216  94164  47664 710924    0    0     0     0  336  459  0  1 99  0  0
 1  0   7216  94164  47664 710924    0    0     0     0  356  466  1  0 99  0  0
 1  0   7216 107648  47664 710924    0    0     0     4  340  460  0  1 99  0  0
 1  0   7216 107648  47672 710924    0    0     0    12  320  441  0  1 99  0  0
 1  0   7216 107172  47672 710924    0    0     0     0  339  474  0  0 100  0  0
 1  0   7216 107172  47672 710924    0    0     0     0  320  431  0  1 99  0  0
